RT,IBD_1,IBD_2,IBD_3,IBD_4,IBD_5,IBD_6,IBD_7,IBD_8,IBD_9,IBD_10,IBD_11,IBD_12,IBD_13,IBD_14,IBD_15,IBD_16,IBD_17,IBD_18,IBD_19,IBD_20,IBD_21,IBD_22,IBD_23,IBD_24,IBD_25,IBD_26,IBD_27,IBD_28,IBD_29,IBD_30,IBD_31,IBD_32,IBD_33,IBD_34,IBD_35,IBD_36,IBD_37,IBD_38,IBD_39,IBD_40,IBD_41,IBD_42,IBD_43,IBD_44,IBD_45,IBS_1,IBS_2,IBS_3,IBS_4,IBS_5,IBS_6,IBS_7,IBS_8,IBS_9,IBS_10,IBS_11,IBS_12,IBS_13,IBS_14,IBS_15,IBS_16,IBS_17,IBS_18,IBS_19,IBS_20,IBS_21,IBS_22,IBS_23,IBS_24,Normal_1,Normal_2,Normal_3,Normal_4,Normal_5,Normal_6,Normal_7,Normal_8,Normal_9,Normal_10,Normal_11,Normal_12,Normal_13,Normal_14,Normal_15,Normal_16,Normal_17,Normal_18,Normal_19,Normal_20,Normal_21,Normal_22,Normal_23,Normal_24,Normal_25,Normal_26,Normal_27,Normal_28,Normal_29
62,5803728,8201240,8442106,6770662,7141354,7186148,6197332,6243343,6482588,7097531,6237656,6337011,7397623,7676365,6508714,6046491,7431047,6567519,5748104,6604682,7388140,6962406,6617710,6039384,6948728,6277287,7388727,7009924,7248510,7544082,8023133,6983130,6896155,6674530,7851582,6392965,7309320,7077230,6546050,6784702,6883473,6764267,6591009,7385863,7337669,8502788,6282611,6406264,6864488,7703366,6659156,6916207,6812076,7118961,6547863,6930961,5998298,6701842,7340058,5834480,6745154,7006557,6083730,7096369,6657834,6838995,6086217,7638171,6129586,6589258,6920735,7368240,6995585,7307998,6746492,7583272,6746310,7972582,6907975,7403959,7306520,7453942,6930108,6152092,6506624,6332948,5965332,7334778,7588142,6992075,7276310,6837844,6633944,6179440,7141855,7305206,7286563,7090279
62.5,5785763,8133095,8410436,6754677,7063934,7148596,6181746,6226796,6453562,7047431,6204295,6311206,7374828,7635310,6494285,6036536,7392431,6527407,5738922,6576221,7357796,6937308,6593204,6024891,6929167,6249657,7343149,6984293,7211916,7474446,7991822,6931492,6872735,6649987,7819416,6375017,7270964,7034756,6525489,6757736,6847382,6743778,6558852,7345176,7277627,8446642,6275778,6385738,6842574,7659516,6636274,6873904,6788031,7079714,6513112,6896364,5979660,6672152,7304346,5820020,6725002,6965580,6074473,7059417,6641542,6818208,6071513,7572052,6112984,6559089,6883294,7368240,6958649,7285929,6712596,7542477,6735084,7938106,6862110,7373666,7242084,7453942,6893164,6130929,6478247,6327711,5959265,7301942,7561632,6961620,7242837,6825692,6620091,6161213,7119168,7249146,7224239,7056566
63,5767683,8046052,8350780,6727678,7027261,7114179,6163170,6213975,6420208,6992687,6170353,6283755,7335992,7615722,6485823,6026514,7374424,6491620,5728162,6535815,7336284,6912718,6563370,6015173,6901983,6237097,7268743,6931795,7180972,7409744,7929118,6888616,6855950,6638136,7778041,6337283,7247652,6983022,6509888,6719730,6831512,6703152,6533940,7319370,7250997,8392324,6260650,6368869,6816320,7639935,6618876,6840255,6763665,7063704,6490874,6875844,5953959,6659890,7282036,5805476,6712133,6937494,6060505,7044565,6622722,6787055,6059676,7517496,6102946,6544413,6868660,7341300,6941244,7258301,6676860,7524413,6715541,7908090,6804449,7346207,7167691,7404340,6821681,6109624,6462198,6330328,5944030,7285658,7541975,6931441,7201490,6812412,6601003,6150504,7095207,7222231,7191142,6993265
63.5,5759409,7988852,8292846,6704649,6965078,7076487,6154545,6194611,6405899,6969771,6156919,6265238,7318704,7579790,6487036,6019808,7341301,6475478,5718913,6517822,7316652,6885629,6540593,5997226,6890312,6217389,7221752,6887291,7149239,7350642,7875952,6840675,6834944,6615301,7757809,6316172,7226256,6960189,6499402,6704722,6801368,6669833,6499264,7295288,7202842,8342660,6253736,6351870,6801991,7602316,6595438,6823667,6743118,7032029,6470968,6854020,5941857,6635108,7245593,5794091,6693759,6914513,6052710,7017082,6615609,6770733,6052242,7493478,6089482,6512176,6839983,7320464,6910572,7230943,6635934,7491450,6702054,7876222,6750100,7321166,7136036,7357862,6773042,6093493,6443690,6329022,5934834,7264663,7513242,6914644,7183180,6804182,6590738,6130452,7067342,7172467,7137833,6955322
64,5744448,7939403,8267595,6692450,6915592,7058589,6137170,6186819,6375625,6928833,6131249,6251890,7285696,7557524,6491876,6009700,7311746,6444074,5712722,6486530,7294580,6868708,6514950,5984086,6868851,6204609,7180306,6868505,7127136,7315520,7851274,6819677,6812643,6602124,7722542,6293442,7197562,6923913,6488854,6674288,6777892,6654142,6487087,7268598,7179843,8285907,6241220,6333361,6779240,7577682,6587149,6797008,6725430,7017300,6445432,6826831,5927935,6614576,7227770,5779379,6686129,6885672,6038592,6995468,6601291,6741819,6040294,7446744,6077618,6492050,6817894,7292002,6891718,7217862,6599732,7475980,6687408,7850242,6725453,7299310,7080054,7311384,6734452,6077266,6426195,6327708,5920969,7241884,7498009,6882491,7149103,6789693,6577792,6124228,7053206,7144102,7101702,6922182
64.5,5737770,7878981,8220334,6668921,6890756,7025684,6128428,6173777,6364982,6899890,6112936,6233083,7255698,7535433,6491876,6006322,7297100,6424672,5701862,6461340,7284923,6853719,6491494,5977475,6851462,6183132,7133773,6834376,7099376,7269832,7807315,6778956,6802420,6591067,7697406,6270457,7184997,6890636,6476899,6648876,6759264,6629662,6459689,7256577,7141132,8246902,6228630,6316039,6765638,7555028,6563251,6769942,6707582,6987410,6434562,6814608,5906860,6599574,7194648,5769508,6668567,6871567,6029119,6978119,6588060,6714523,6032790,7418716,6062249,6474214,6798551,7266707,6870697,7195290,6583694,7445817,6669470,7824575,6681744,7271923,7044782,7311384,6690686,6063650,6415634,6315876,5914785,7230379,7467687,6867184,7124288,6782395,6562132,6105470,7029041,7114278,7071665,6882264
65,5722659,7838372,8187192,6659874,6862552,7002786,6113768,6159341,6346193,6875467,6095972,6219542,7241232,7515518,6487034,5996143,7270361,6410659,5698752,6445209,7268448,6832043,6479665,5964194,6833836,6171586,7112460,6805690,7078232,7236397,7770920,6753010,6783833,6574370,7673675,6258171,7161961,6876166,6459483,6635479,6736242,6608564,6443038,7232265,7114054,8208349,6223007,6307984,6745571,7524492,6548758,6754738,6697003,6972216,6415371,6792981,5901553,6575082,7180215,5756298,6657504,6847830,6019607,6960602,6577149,6700717,6022237,7393501,6055379,6451042,6775884,7250144,6851392,7173997,6553452,7425810,6659908,7801374,6661671,7250110,7010390,7311384,6667859,6049960,6399099,6302642,5907024,7209467,7446014,6847580,7102393,6769816,6555556,6092860,7009978,7078769,7042876,6863961
65.5,5714230,7799703,8156729,6639317,6825858,6985824,6104924,6154069,6331298,6849601,6078887,6208632,7215747,7495907,6472437,5985913,7250744,6392288,5687829,6422123,7256368,6822179,6457069,5957520,6817117,6157046,7075766,6783850,7056725,7195132,7753346,6729808,6766081,6565398,7644648,6238918,7145884,6847819,6451393,6612907,6718218,6594749,6427613,7213013,7082297,8173214,6206040,6290417,6730626,7510570,6539015,6737319,6674565,6945275,6398754,6783620,5885559,6565666,7151697,5746338,6648592,6826719,6005257,6942863,6566174,6674932,6014665,7363614,6041563,6441947,6765491,7214893,6833807,7153216,6534604,7408210,6644932,7774604,6631149,7235627,6972554,7270098,6629107,6043081,6387216,6294660,5900796,7200088,7426661,6825576,7075897,6761372,6542327,6084929,6990645,7061558,7016207,6833976
66,5709149,7750971,8126892,6626641,6809736,6958698,6090093,6144814,6319013,6838092,6069490,6201795,7198532,7473422,6461414,5979063,7233145,6388016,5684705,6411157,7248006,6802264,6446330,5947467,6803593,6139451,7059652,6766986,7032139,7173648,7719018,6704151,6757662,6550740,7630876,6222257,7132083,6835943,6436443,6595794,6695698,6576997,6404928,7203684,7056884,8142370,6197502,6279526,6715534,7484251,6525542,6715595,6658368,6928670,6390375,6762629,5874824,6549047,7138498,5741340,6635152,6816081,6002056,6921130,6561265,6661897,6008600,7343820,6034618,6422289,6744477,7202506,6810076,7143536,6515528,7382124,6636324,7752468,6613937,7219466,6952363,7270098,6612237,6027888,6374060,6285304,5896109,7181967,7407056,6812877,7063770,6750758,6528988,6070586,6976694,7035382,6985278,6818252
66.5,5698969,7728804,8099480,6615030,6778052,6941296,6084130,6138184,6312160,6815838,6048997,6197676,7182678,7463020,6454028,5973912,7216908,6376580,5681573,6393173,7235771,6787712,6431447,5940740,6785397,6132085,7029566,6746749,7019223,7146196,7688099,6689006,6737494,6541666,7608751,6213873,7118174,6813954,6429610,6580817,6684878,6570612,6397779,7187227,7031934,8102763,6193214,6264446,6702498,7469284,6511964,6708294,6650760,6910870,6377749,6753102,5867629,6533481,7118436,5724602,6630648,6797571,6000452,6913500,6547716,6639965,6002510,7325873,6031136,6406412,6730688,7177331,6800100,7124822,6503525,7370295,6625500,7734113,6590735,7202328,6918787,7270098,6583756,6025116,6363241,6290645,5888288,7171642,7390634,6794702,7039217,6741141,6522280,6067381,6963542,7015910,6970999,6797012
67,5693862,7687632,8072952,6605674,6760432,6927411,6076650,6136855,6302512,6804076,6037878,6200424,7168278,7449893,6476031,5968746,7202041,6375144,5681573,6380613,7232699,6782074,6421916,5932291,6772746,6117248,7009512,6725169,6997757,7118157,7674287,6672615,6723556,6533688,7592764,6197000,7106619,6799810,6417232,6565718,6666312,6562912,6387710,7175368,7010186,8084256,6181745,6260314,6687154,7452153,6503261,6694644,6635447,6894878,6373518,6741366,5856797,6520202,7108295,5721240,6624999,6788742,6006859,6896195,6541518,6626676,5996400,7302581,6024150,6399739,6717845,7164600,6781985,7112502,6488999,7348486,6614622,7717648,6579019,7184223,6896966,7233784,6559475,6013990,6353580,6343280,5888286,7161248,7376091,6780641,7028577,6733628,6510126,6057741,6945511,6997062,6946881,6773307
67.5,5690447,7659258,8049255,6592737,6742600,6906845,6066138,6130198,6291433,6794366,6025082,6201795,7154535,7437974,6610361,5965291,7183064,6372270,5673728,6373586,7224993,6798861,6413697,5925516,6762305,6106804,6987409,6713186,6990211,7098104,7646775,6653863,6712739,6529113,7585034,6187090,7094162,6790647,6410315,6554008,6656408,6555176,6377590,7167410,6997004,8048960,6174548,6247857,6673893,7433493,6488248,6686208,6629946,6880733,6365022,6731716,5849550,6510482,7093826,5714503,6621601,6773951,6010055,6888443,6532799,6613280,5994870,7292280,6020644,6389043,6704914,7148558,6772853,7105892,6482910,7332086,6606968,7699846,6560095,7174681,6875793,7204913,6548970,6009806,6346303,6472335,5882005,7162848,7359300,6764278,7007059,6724996,6503338,6052905,6935935,6974343,6929276,6763514
68,5688741,7631903,8018497,6586825,6719246,6898360,6055570,6122188,6285863,6783507,6013818,6218146,7138211,7429965,6930678,5958372,7175083,6367950,5678437,6359470,7219578,6845789,6405441,5923818,6751800,6109796,6965028,6697798,6986423,7071757,7623867,6646083,6696405,6530257,7610597,6192751,7094162,6790642,6403369,6541047,6643113,6549998,6371775,7182473,7034410,8026242,6170214,6238118,6668334,7424067,6481958,6674531,6642000,6866464,6363602,6720917,5844091,6500706,7082649,5709436,6619334,6766018,6021199,6879682,6521524,6606548,5990274,7271429,6013624,6385009,6691878,7136408,6758565,7109195,6469446,7322015,6606965,7688931,6545772,7169100,6851413,7176042,6525396,6005613,6343872,6650213,5878860,7180333,7350125,6753260,6995282,6717399,6497885,6041568,6922435,6963328,6913433,6744828
68.5,5693859,7602810,8004445,6584456,6708540,6891733,6057084,6116829,6287259,6778051,6005742,6310952,7130809,7427958,7373783,5956636,7158991,6365062,5681573,6348092,7224991,7080786,6397148,5932291,6747104,6126139,6955996,6678917,7007963,7046691,7611081,6636028,6688733,6566423,7682854,6252486,7131980,6825992,6392205,6537498,6645338,6543504,6365944,7205959,7105119,8004605,6174546,6233930,6658288,7408463,6479436,6671336,6733449,6854115,6363602,6715493,5847730,6490878,7075737,5711126,6634009,6768995,6021202,6886504,6517758,6637674,6000979,7261648,6011862,6389031,6683132,7128265,6753432,7140304,6460830,7309700,6620046,7677386,6537354,7192918,6840576,7176042,6515879,6008410,6348730,6802272,5882005,7288180,7337326,6745508,6993460,6709784,6492416,6041568,6918551,6956861,6899440,6737073
69,5714208,7590997,7980896,6586825,6692332,6897412,6066138,6112805,6301134,6776955,6004121,6450318,7121712,7434636,7673957,5958372,7148443,6370832,5687829,6352363,7253299,7378872,6395761,5964196,6754125,6154050,6952372,6675566,7138267,7033573,7589309,6636028,6681020,6612929,7812568,6335236,7215478,6929113,6390804,6553990,6678287,6550000,6367399,7286284,7398656,7980020,6186040,6238112,6657168,7400942,6486988,6677726,6889820,6847910,6376331,6714406,5856797,6492110,7068790,5741291,6666364,6799508,6024374,6919137,6516498,6775171,6010116,7251794,6013619,6430136,6683134,7135587,6777896,7227481,6457128,7311153,6687243,7678486,6532532,7265598,6840576,7176042,6502716,6023719,6376444,6877419,5889851,7428156,7333036,6737718,7000732,6702124,6499247,6046429,6924364,6978879,6888346,6727044
69.5,5744452,7576673,7968928,6609172,6680353,6926462,6085611,6110117,6320354,6788950,6010594,6644180,7121712,7472055,7822632,5963559,7145998,6386588,5703414,6367960,7275176,7687315,6397148,6042380,6769253,6241156,6956000,6667711,7315720,7016806,7576185,6646083,6684330,6735729,7992935,6618697,7359454,7146824,6390802,6593500,6762252,6561615,6386251,7352298,7606134,7970702,6238348,6252022,6672775,7402997,6501991,6690426,7109020,6854115,6407088,6724162,5887331,6508037,7070529,5772751,6731233,6821859,6027540,7002531,6521532,6888204,6037270,7244934,6013624,6467652,6709188,7189047,6850246,7398724,6459598,7334244,6745012,7691682,6538556,7377840,6853382,7176042,6503920,6037561,6403842,6884159,5917868,7570141,7333035,6744394,7023189,6698830,6514182,6060952,6942652,7003328,6887335,6729280
70,5769331,7568844,7958990,6645035,6674880,6971395,6103420,6103386,6362290,6811565,6021874,6898890,7123371,7513006,7833956,5979063,7144365,6414876,5720458,6402839,7306392,7971555,6409572,6169436,6808060,6311284,6962330,6663211,7527886,7003417,7569572,6661613,6689830,6859702,8058668,6857108,7550593,7332480,6401982,6646564,6808292,6583356,6402061,7397591,7945045,7957432,6292146,6286302,6698130,7413232,6535322,6713511,7372781,6870556,6449408,6733868,5938353,6527460,7076606,5843987,6831329,6869672,6037018,7047065,6529052,7151807,6062634,7241107,6025898,6562597,6760266,7260726,6901900,7525242,6479247,7364672,6853812,7717091,6556520,7501510,6861210,7140656,6513493,6058183,6430866,6842320,5940970,7709857,7335183,6756559,7062029,6698830,6526298,6076953,6959758,7063232,6889360,6733737
70.5,5795586,7565819,7945887,6659868,6662774,6989400,6129884,6103386,6380915,6851687,6037874,7029340,7122542,7542831,7768385,5992742,7141912,6423271,5720458,6454620,7323228,8043022,6421916,6229941,6836058,6351249,6962330,6659825,7699088,6992640,7562922,6671514,6699694,6899579,8115640,7053411,7619795,7453723,6418603,6706840,6886346,6601046,6433228,7414020,8076620,7943555,6337742,6325390,6733799,7420020,6564450,6730118,7461879,6878701,6511803,6742443,5967716,6538286,7084380,5910021,6887594,6893170,6052708,7115764,6539031,7260209,6072985,7238040,6034618,6623616,6822807,7333326,6998180,7616755,6489002,7394552,6891784,7731484,6574314,7600644,6874835,7140656,6525402,6065013,6447176,6797422,5959258,7755666,7334468,6786056,7073310,6698830,6541001,6102316,6974822,7105930,6900442,6737075
71,5802097,7552426,7937508,6671185,6651696,7007218,6137172,6097986,6387546,6863116,6044242,7084147,7117555,7556307,7672241,6002933,7137813,6434405,5726625,6479948,7329042,8076419,6431447,6306982,6850364,6374872,6959620,6657566,7789209,6976325,7558673,6722167,6697508,6931159,8095236,7186960,7670430,7523859,6432346,6728252,6914096,6608562,6451390,7406513,8105379,7936105,6371916,6337345,6762500,7415952,6571660,6729085,7533106,6886814,6529945,6742444,5976259,6546665,7081794,5928548,6907780,6892235,6063622,7134118,6540276,7370327,6096446,7249499,6038092,6653805,6879422,7384986,7038718,7676626,6496277,7411623,6917013,7734126,6582548,7656061,6871926,7140656,6536044,6084034,6444854,6754423,5983428,7751268,7328007,6795774,7080216,6722809,6542332,6108612,6974822,7125136,6907456,6734852
71.5,5835986,7537676,7919657,6670058,6643897,7009872,6140076,6096633,6384906,6866220,6044242,7088375,7110888,7551425,7575911,6002936,7125455,6444084,5735852,6515147,7346347,8051582,6451710,6347004,6853650,6372266,6959620,6650764,7802550,6964444,7546451,6856520,6694220,6924714,8069797,7206755,7655574,7528854,6435082,6738864,6916934,6622232,6466576,7381037,8081086,7926401,6382318,6350544,6771944,7405045,6574053,6720795,7523752,6886809,6549163,6734939,5976259,6544278,7073133,5954492,6908738,6884746,6066729,7126645,6548946,7384280,6123968,7261635,6048484,6653809,6909316,7397424,7043916,7683988,6503520,7412981,6917938,7733598,6612721,7660605,6869984,7126766,6555975,6114974,6436716,6724096,6027950,7728016,7314288,6799000,7069858,6747481,6546304,6124228,6972012,7118474,6928236,6730395
72,5889807,7520240,7906096,6671185,6638312,7027433,6137172,6100686,6378289,6856904,6039470,7049210,7104187,7531724,7498841,6011384,7117990,6476789,5748098,6647351,7383919,8027105,6532621,6435730,6853650,6364422,6970436,6647354,7758087,6950609,7530401,7135482,6688733,6920096,8006287,7188601,7613499,7520750,6443256,6734638,6914096,6644351,6497928,7360770,8014204,7942250,6416919,6372784,6777168,7394745,6568064,6715598,7487525,6876674,6566879,6724162,5974554,6551434,7072266,5986144,6891455,6879113,6095966,7110762,6566174,7357014,6168049,7287826,6065678,6644564,6918859,7384970,7035242,7685115,6527480,7402772,6917938,7743580,6657003,7646424,6876764,7125946,6582513,6157293,6427374,6702864,6105917,7700365,7306283,6792547,7055053,6786574,6573872,6152044,6974822,7107602,7040434,6724806
72.5,5913162,7505125,7895572,6679051,6637192,7072197,6142978,6100686,6374308,6851704,6041060,7025815,7105027,7516774,7449060,6043186,7102114,6549471,5763339,6761971,7407586,8034690,6648982,6609538,6860185,6359175,6982963,6647354,7708726,6941324,7521686,7600722,6687634,6913612,7958548,7170253,7556083,7520125,6459492,6730396,6916932,6713595,6558683,7343056,7950138,7984521,6447108,6421426,6792723,7378832,6571656,6716640,7450460,6870556,6585622,6720918,5974554,6558564,7093790,6034893,6872030,6868744,6147328,7098090,6607213,7314818,6222219,7298181,6109597,6622432,6920759,7371027,7030016,7695775,6599519,7398666,6918862,7759680,6804976,7609437,6888327,7125946,6705369,6201542,6423857,6700729,6145326,7668136,7302630,6792548,7047166,6808300,6601012,6204898,6991574,7092418,7137620,6746988
73,5951551,7500052,7884951,6690236,6640550,7102508,6155987,6103386,6375636,6846485,6052165,6986044,7105866,7506062,7445743,6124146,7095380,6578979,5769409,7010752,7445172,8054088,6783181,6695388,6868866,6355231,6990973,6662082,7661250,6931054,7515418,7813011,6699693,6906172,7921219,7140261,7530563,7523873,6486172,6731458,6925421,6767688,6642307,7325865,7882679,8032680,6523039,6483784,6839495,7367658,6583592,6727014,7414985,6870556,6643102,6717665,5974554,6577430,7123355,6088402,6858308,6863066,6223120,7086176,6668168,7296570,6252196,7302596,6165551,6611854,6941478,7347748,7033501,7710240,6748050,7395926,6919786,7790342,6935790,7586404,6912175,7125946,6825776,6225869,6415639,6738759,6193559,7654105,7316424,6806475,7039228,6812415,6626387,6259338,7011806,7085624,7347358,6805556
73.5,5960670,7496229,7878441,6695798,6646134,7178047,6163170,6103386,6372979,6845440,6056912,6959906,7110885,7491442,7518959,6253123,7082674,6615409,5772440,7152664,7451914,8104664,6883052,6814010,6874261,6345993,6993636,6673326,7624556,6925416,7511013,8092898,6702968,6898695,7885210,7120486,7487882,7520126,6525473,6731458,6927302,6802237,6672867,7320816,7826144,8068505,6577400,6533215,6877152,7357099,6593078,6738344,7384226,6873617,6677594,6720917,5977961,6586794,7207256,6127965,6850407,6855469,6308633,7084466,6691052,7263117,6265654,7296713,6188119,6615391,6966588,7328432,7036112,7713006,6820220,7396612,6916088,7832806,7024862,7568370,6929138,7127586,6923416,6237316,6412107,6801413,6211184,7624424,7400433,6823454,7032140,6814464,6651383,6299423,7042442,7075365,7428498,6917638
74,5962185,7484699,7866243,6693576,6646134,7274460,6178904,6097986,6370319,6842297,6061641,6932381,7130789,7483103,7627418,6315835,7075000,6625330,5769410,7217860,7449224,8133524,6942201,6838762,6875338,6342022,7009498,6680036,7584103,6917880,7507860,8272026,6707320,6895887,7864130,7102947,7459816,7510702,6538374,6733578,6930116,6821968,6707590,7321538,7767632,8084679,6587852,6569820,6971303,7342910,6597798,6798880,7374528,6869533,6693962,6728476,5974554,6590292,7282832,6146109,6840480,6847844,6338557,7100613,6716953,7246470,6266994,7293761,6210414,6627117,6988541,7320485,7031759,7708580,6918777,7393178,6919782,7885118,7076846,7553790,6930076,7127586,6985458,6237315,6413286,6858014,6207132,7605734,7600807,6853804,7032140,6809336,6664939,6324765,7143954,7059847,7510341,7116268
74.5,5954599,7476959,7858673,6692464,6648362,7424172,6188830,6092571,6363648,6833886,6055332,6897835,7153657,7470182,7725564,6421576,7071576,6624095,5764859,7230746,7444507,8146530,6951048,6850968,6873183,6331387,7033916,6683382,7554558,6911251,7507859,8329729,6710582,6908036,7842226,7075843,7440552,7491664,6547345,6743084,6938534,6820880,6714668,7329468,7716210,8081622,6591315,6592987,7034808,7335766,6598980,6944077,7391118,6868510,6709012,6766799,5967716,6586796,7368024,6148884,6842470,6848799,6364018,7139076,6726977,7216522,6264312,7287100,6213572,6637613,6995812,7303751,7026522,7697458,6955366,7384900,6944521,7961080,7099972,7554398,6930076,7127586,7004347,6239850,6417992,6887049,6200362,7593535,7786232,6880459,7047140,6808308,6702511,6324766,7222273,7044176,7526146,7220597
75,5950037,7462655,7845788,6691350,6650586,7620829,6232255,6089862,6355616,6829664,6052170,6868346,7218798,7465630,7770127,6464246,7070719,6619152,5760300,7221924,7442480,8139531,6936309,6831610,6863446,6322032,7063902,6682268,7531690,6908401,7515417,8401044,6718159,6929308,7825040,7064697,7422410,7483331,6548622,6772279,6957984,6816517,6721708,7335207,7667555,8064260,6580904,6632785,7110580,7328592,6598980,7036725,7433141,6881744,6709012,6797044,5966003,6592619,7484188,6151655,6855342,6854518,6374620,7203448,6729196,7201722,6256243,7281152,6210414,6658401,6988558,7297890,7023022,7687359,6975564,7381441,6961728,8038326,7104218,7574997,6936618,7116062,7008814,6230968,6426200,6876459,6190843,7578150,7945027,6904692,7068124,6813440,6763562,6320570,7386790,7035394,7524265,7408182
75.5,5940881,7450846,7839532,6690236,6661666,7699629,6272086,6088501,6348893,6821182,6042652,6853874,7261768,7460405,7749915,6522519,7072433,6614192,5760300,7187716,7433669,8125717,6923409,6815144,6856920,6316666,7087552,6676685,7516004,6904596,7521681,8444266,6735352,6946707,7817206,7047386,7411542,7470408,6543508,6823256,6982696,6805554,6724050,7335207,7624814,8047808,6572758,6676196,7204367,7326432,6606035,7178604,7453077,6891850,6714761,6859965,5957416,6594944,7586330,6153040,6865181,6857372,6369328,7263878,6741335,7189918,6250845,7274427,6207250,6676668,6976694,7301556,7024772,7673793,6988296,7375190,6989458,8103177,7103370,7598282,6940344,7116062,7006134,6229696,6433217,6841342,6173056,7570089,8067335,6923568,7093893,6810363,6794328,6313556,7483162,7024798,7521123,7526482
76,5928612,7436925,7833238,6692462,6668288,7782238,6316371,6083070,6344848,6819053,6034686,6827540,7288669,7457786,7690543,6555304,7075855,6609216,5752685,7157734,7417261,8086068,6901360,6787973,6847071,6312631,7090066,6667714,7500079,6902689,7534129,8477455,6742828,6947618,7794630,7027240,7393715,7457360,6538382,6846196,7003417,6797837,6735697,7329461,7583875,8029845,6558712,6715232,7260778,7327152,6613061,7236368,7468823,6910870,6725059,6895416,5953967,6597265,7653550,6157187,6883715,6855469,6369326,7304841,6746825,7178026,6245429,7257862,6197712,6681201,6966588,7308138,7023897,7662384,6993724,7373796,6997434,8127980,7095717,7607704,6942203,7116062,6998076,6216942,6433217,6805515,6166172,7546265,8088202,6936361,7111710,6810363,6836609,6305099,7526265,7011443,7517340,7611849
76.5,5920914,7422878,7820055,6690235,6673784,7789942,6344065,6081710,6338085,6810512,6028289,6800804,7294594,7447912,7625393,6587366,7076710,6597957,5741985,7131303,7404851,8053064,6879961,6760378,6836058,6305880,7077460,6662084,7482666,6900782,7537224,8510185,6751323,6933897,7772894,7017508,7381943,7442845,6526780,6869824,7006110,6780036,6734538,7306277,7543260,8003371,6552828,6736590,7340633,7323548,6616564,7247020,7464252,6919791,6725059,6901240,5943598,6596106,7676307,6157187,6889528,6843059,6365348,7318031,6749016,7164421,6233195,7249505,6184938,6686852,6958268,7309596,7018628,7646235,6991917,7371006,6989463,8117919,7088015,7602998,6936614,7116062,6989074,6202825,6422683,6774035,6150947,7525928,8075037,6951960,7110866,6795920,6848616,6292341,7525025,6997068,7500802,7685132
77,5903874,7405950,7811182,6679058,6662774,7764638,6346682,6073530,6325848,6804076,6013823,6789785,7279005,7433302,7565831,6626086,7078416,6581558,5737387,7086720,7379032,8017825,6858286,6732257,6824951,6289602,7054554,6657564,7457674,6891200,7532886,8517159,6747082,6903344,7749664,6996062,7355300,7412658,6511190,6870800,6996236,6763170,6728713,7288672,7502792,7972384,6531473,6734464,7368323,7314133,6610722,7210927,7437165,6916826,6713604,6891520,5936652,6586794,7677960,6151652,6879826,6826728,6358695,7299722,6740232,7133573,6219524,7227247,6178516,6678935,6945236,7302284,7011587,7621665,6977394,7357672,6960822,8091820,7062078,7591739,6917839,7091076,6969069,6193797,6408568,6756513,6139807,7501388,8027150,6958729,7093901,6787606,6839886,6282354,7509944,6987108,7485325,7708330
77.5,5886710,7383991,7788207,6665535,6656136,7705429,6332244,6068062,6320384,6794366,6008976,6763469,7249614,7421898,7523487,6670771,7076708,6572663,5728166,7065233,7357806,7972300,6834142,6700327,6809254,6273180,7025219,6643931,7432208,6882529,7515404,8503150,6735352,6884580,7720169,6970692,7334660,7384626,6505964,6851157,6969005,6746091,6709937,7266343,7450462,7957411,6517102,6709865,7388576,7297330,6598980,7186646,7393850,6907881,6698610,6870897,5924438,6572731,7664708,6133569,6859285,6810253,6348004,7271381,6731405,7116269,6208511,7214042,6167211,6672116,6935864,7280882,6987571,7599080,6959050,7347775,6941784,8049083,7044528,7558645,6896966,7091076,6932992,6176944,6397915,6740912,6122992,7477812,7995803,6962580,7079336,6771920,6810076,6263672,7458311,6967002,7447094,7739891
78,5875712,7368004,7770944,6649627,6640541,7672863,6317720,6065322,6305272,6778046,6000871,6745028,7223536,7398141,7491283,6716666,7074145,6554717,5723544,7024036,7338441,7948826,6813936,6680194,6800210,6260764,7000710,6632494,7397795,6865054,7490031,8466328,6715991,6848348,7702228,6944879,7311527,7355945,6490172,6827310,6951515,6725362,6686159,7243717,7421598,7926372,6500175,6692567,7378855,7288493,6590708,7128858,7370992,6883763,6681106,6837957,5913904,6564480,7641695,6113930,6848416,6787756,6335896,7236382,6714724,7079364,6194657,7198343,6150946,6659545,6915041,7264461,6964134,7577309,6947943,7324170,6904926,8019888,7007925,7530354,6875785,7091076,6912287,6159968,6376458,6728323,6114526,7455178,7933152,6967384,7046273,6756065,6794380,6250630,7418266,6952226,7413226,7750205
