RT,IBD_1,IBD_2,IBD_3,IBD_4,IBD_5,IBD_6,IBD_7,IBD_8,IBD_9,IBD_10,IBD_11,IBD_12,IBD_13,IBD_14,IBD_15,IBD_16,IBD_17,IBD_18,IBD_19,IBD_20,IBD_21,IBD_22,IBD_23,IBD_24,IBD_25,IBD_26,IBD_27,IBD_28,IBD_29,IBD_30,IBD_31,IBD_32,IBD_33,IBD_34,IBD_35,IBD_36,IBD_37,IBD_38,IBD_39,IBD_40,IBD_41,IBD_42,IBD_43,IBD_44,IBD_45,IBS_1,IBS_2,IBS_3,IBS_4,IBS_5,IBS_6,IBS_7,IBS_8,IBS_9,IBS_10,IBS_11,IBS_12,IBS_13,IBS_14,IBS_15,IBS_16,IBS_17,IBS_18,IBS_19,IBS_20,IBS_21,IBS_22,IBS_23,IBS_24,Normal_1,Normal_2,Normal_3,Normal_4,Normal_5,Normal_6,Normal_7,Normal_8,Normal_9,Normal_10,Normal_11,Normal_12,Normal_13,Normal_14,Normal_15,Normal_16,Normal_17,Normal_18,Normal_19,Normal_20,Normal_21,Normal_22,Normal_23,Normal_24,Normal_25,Normal_26,Normal_27,Normal_28,Normal_29
5,4804838,4805063,4807760,4808233,4815622,4812451,4807735,4811000,4816271,4811758,4813679,4817267,4815510,4846204,4800000,5123887,4818039,4809172,4908635,4802966,4809128,4812516,4811822,4811056,4825664,4805266,4807210,4810878,4820418,4810338,4815336,4805210,4810666,5054335,4842482,4807735,4802394,4818051,4805988,4810418,4805174,4809215,4812432,4807248,4806645,4875542,4810486,4815682,4810672,4814412,4811006,4809708,4812436,4811592,4808945,4813444,4814350,4810666,5011214,4812051,5152894,4804316,4810770,4810606,4805690,4812643,4802513,4998347,4809197,4805602,4815766,4816668,4814918,4809512,4810378,4814808,4847196,4989572,4805370,4810066,4807721,4809926,4805152,4808715,4804430,4810190,4812103,4809140,4812401,4817440,4813360,4808092,4874938,4814066,4813905,4818274,4811650,4808654
5.5,4802419,4807597,4805176,4810974,4815622,4819896,4807735,4808804,4813569,4800000,4816408,4814803,4810350,4836006,4805152,5123887,4815470,4812224,4908635,4805932,4804568,4812516,4811828,4805528,4822468,4815766,4807210,4808161,4823324,4810338,4815336,4807810,4808002,5056522,4840371,4810324,4800000,4818051,4802994,4807816,4805174,4812274,4809328,4809662,4808858,4872974,4813100,4815682,4808007,4809616,4805510,4809708,4809954,4805802,4805968,4810762,4805750,4815982,5013716,4809646,5152894,4804316,4816138,4813250,4808529,4815166,4807534,4998347,4806136,4802801,4807894,4814294,4814918,4807136,4802598,4809880,4847192,4989572,4810740,4812576,4812857,4809926,4812873,4808718,4804434,4805102,4816929,4804574,4814876,4811640,4810694,4805398,4871859,4814066,4805572,4818274,4805832,4811534
6,4807252,4810126,4805176,4810974,4815622,4809966,4805160,4808804,4813569,4805886,4816408,4812344,4807765,4838558,4807731,5121338,4820608,4806120,4906584,4805932,4809128,4809391,4805922,4800000,4819272,4807894,4809610,4808161,4817512,4810338,4815336,4810410,4808002,5052148,4838260,4805162,4802394,4805170,4805988,4810418,4805174,4809215,4809328,4800000,4808858,4870401,4813100,4813074,4810672,4812014,4811006,4809708,4807468,4805802,4805968,4805386,4811481,4808002,5013716,4804828,5152894,4804316,4813454,4813250,4805684,4812643,4805021,5003177,4806136,4805602,4810522,4816668,4809954,4809509,4810384,4809880,4847192,4989572,4810735,4815086,4810292,4807447,4810304,4806540,4804434,4805102,4812103,4811420,4812401,4811640,4810694,4810780,4865693,4816866,4811132,4823473,4811650,4808654
6.5,4807252,4805068,4810344,4813709,4818215,4809962,4805160,4808801,4810862,4811758,4816408,4814803,4810350,4841110,4805152,5121338,4818039,4806120,4910689,4805932,4806848,4806266,4805922,4811056,4819272,4805266,4807210,4808161,4820418,4807756,4812785,4810410,4800000,5056522,4838260,4805162,4800000,4810325,4802994,4810418,4805174,4812282,4809328,4804834,4808858,4870401,4815714,4815682,4808007,4809616,4811006,4807283,4809954,4805802,4805961,4810762,4811488,4810666,5008712,4809646,5152894,4804316,4810770,4810606,4802845,4812643,4802513,4995925,4806136,4805596,4810516,4819042,4812436,4807136,4810384,4814808,4847196,4987164,4810740,4815086,4810292,4804968,4812873,4808718,4804434,4805102,4814518,4811420,4814876,4811640,4813360,4805398,4874938,4819672,4805566,4823473,4811650,4811534
7,4809666,4810126,4805176,4808233,4810424,4809966,4805160,4813196,4805436,4811758,4810944,4807412,4812930,4843657,4805158,5118784,4820608,4809172,4906584,4805932,4806848,4809391,4814775,4808295,4819272,4815761,4807210,4805439,4820418,4807756,4810234,4810410,4800000,5056522,4838260,4810324,4800000,4805170,4805988,4805214,4805174,4809215,4812424,4809662,4806645,4867828,4815709,4807852,4802671,4809616,4805510,4809708,4807468,4805802,4808931,4808074,4805750,4810666,5011214,4804828,5150604,4804316,4810770,4810606,4805690,4812643,4802513,4998347,4806136,4802801,4810522,4816668,4812436,4804760,4805192,4812344,4856542,4989572,4805376,4810066,4807721,4807447,4807731,4806540,4808860,4805102,4809688,4806857,4807447,4808733,4810694,4805398,4874938,4811260,4805566,4815672,4811650,4808654
7.5,4809666,4807597,4807760,4805492,4813023,4809966,4805160,4811000,4810862,4811758,4813679,4814808,4810350,4836001,4800000,5116230,4812897,4812224,4906584,4802966,4809128,4815633,4811828,4805534,4819265,4813144,4804805,4805444,4814600,4807756,4817882,4810410,4810666,5056522,4838260,4810324,4802394,4805170,4811964,4805214,4805174,4809215,4806224,4807248,4804432,4872974,4810486,4815682,4805342,4807214,4808258,4809708,4804977,4808697,4808945,4802693,4811481,4810666,5008712,4804828,5152894,4808626,4810764,4807957,4811368,4810116,4800000,5000764,4806136,4805602,4807883,4814294,4812436,4807136,4805192,4807412,4849534,4987164,4810735,4807552,4805150,4809926,4810304,4804362,4802217,4805098,4809688,4804574,4809926,4805826,4813360,4808092,4874938,4811260,4808352,4818274,4808741,4808654
8,4809666,4800000,4805176,4816444,4810424,4812451,4802580,4804406,4810862,4805886,4819131,4814808,4810350,4838558,4802579,5123887,4812897,4815270,4908638,4805925,4809128,4806266,4805922,4805534,4816069,4810522,4802405,4808161,4817512,4810338,4812785,4807810,4800000,5060890,4838260,4810324,4802394,4805170,4808976,4807816,4807756,4818400,4809328,4804834,4804432,4870401,4807867,4807852,4805342,4809616,4805510,4809708,4807468,4802901,4811922,4810762,4814350,4800000,5008712,4807237,5152889,4806471,4810770,4807957,4805690,4807593,4802513,5000764,4809197,4802801,4807894,4811915,4809954,4807136,4810384,4807412,4847196,4989572,4810735,4812576,4810292,4807447,4810300,4806540,4804434,4805098,4814514,4809140,4809926,4808733,4816026,4810786,4871859,4805636,4805572,4823473,4805832,4805774
8.5,4800000,4800000,4807760,4810974,4805218,4809962,4805160,4808804,4808149,4802943,4808215,4807412,4805180,4836006,4805152,5116230,4812897,4806120,4906584,4800000,4806848,4815633,4805922,4808295,4819272,4805266,4800000,4802722,4814600,4810338,4812785,4813005,4802669,5060890,4838260,4800000,4802394,4810325,4805988,4805214,4802587,4806148,4806224,4804834,4802216,4872974,4810486,4807852,4810667,4807214,4805510,4804858,4807468,4805802,4805968,4810762,4811488,4810666,5006204,4804828,5148314,4802158,4813454,4807957,4805684,4810116,4800000,5000764,4806136,4805596,4807894,4809536,4812436,4807136,4810384,4809880,4847196,4989572,4810735,4812576,4807721,4804968,4810304,4804362,4804434,4807649,4816929,4809140,4804963,4808733,4810694,4808092,4868780,4811260,4802786,4820876,4811650,4808654
9,4802419,4807597,4800000,4802746,4813023,4812451,4805160,4806605,4810862,4814687,4805480,4809880,4807765,4841110,4810300,5121338,4812897,4809172,4900416,4802966,4813682,4809391,4811822,4805534,4816069,4810522,4802405,4802722,4823324,4810338,4810234,4810410,4810666,5060890,4838260,4800000,4802394,4812896,4808976,4815612,4805169,4809215,4806224,4809662,4800000,4867828,4810486,4810466,4810672,4804812,4811006,4804854,4807468,4805802,4805968,4808074,4808619,4808002,5006204,4804828,5148314,4804316,4813454,4810606,4802845,4805066,4800000,4998347,4806136,4805602,4807894,4811915,4809954,4809512,4805196,4807412,4842512,4991976,4802688,4812576,4810292,4800000,4812873,4806540,4804434,4807649,4814518,4809140,4809926,4805826,4816026,4816162,4868780,4808448,4808352,4813065,4808741,4808654
9.5,4802419,4805068,4805176,4805492,4815622,4809966,4805160,4804402,4808149,4811758,4805480,4809880,4810350,4841110,4812863,5121338,4805162,4800000,4904530,4805932,4804568,4806266,4811828,4802767,4822468,4807894,4804810,4805444,4814600,4805174,4807678,4805210,4805333,5054335,4836146,4800000,4800000,4815480,4802994,4807816,4805174,4806148,4806216,4807248,4808854,4872974,4807867,4805233,4805342,4807214,4800000,4804858,4809954,4802901,4805968,4810762,4811488,4808002,5008712,4802414,5150604,4806471,4810770,4802654,4805690,4807593,4805021,5003177,4803068,4808397,4810522,4811915,4812436,4800000,4802598,4809876,4847196,4991976,4800000,4810066,4802575,4804968,4802579,4800000,4804434,4837767,4814518,4806857,4807447,4808733,4813360,4808092,4871859,4805636,4805572,4813065,4808741,4811534
10,4807252,4807597,4805176,4808233,4810424,4802494,4802580,4806605,4810856,4808822,4810944,4814808,4805180,4838558,4938282,5123887,4815470,4812224,4908638,4808891,4806848,4812516,4808875,4805534,4825664,4807894,4804805,4808161,4817512,4807756,4810234,4807810,4805338,5058706,4834032,4800000,4804788,4810325,4800000,4807816,4810338,4806141,4800000,4807248,4806645,4872974,4805248,4810466,4805336,4802406,4802755,4807283,4802491,4800000,4800000,4808074,4808619,4808002,5006204,4802414,5152894,4808623,4808080,4805308,4805690,4810120,4807534,5003177,4806136,4802801,4810522,4807154,4802491,4802380,4805196,4802472,4847196,4989572,4805370,4810066,4807721,4804968,4805152,4802181,4800000,4917395,4816929,4804574,4807447,4808733,4808023,4808092,4874938,4811254,4808352,4815672,4805832,4805774
10.5,4804838,4807597,4810344,4810974,4810424,4809962,4805155,4808804,4805436,4811758,4810950,4814808,4810350,4838558,5130787,5123887,4805162,4806120,4908638,4805932,4806848,4815633,4808875,4805534,4819272,4807894,4807210,4805444,4817506,4807756,4807678,4813005,4800000,5060890,4836146,4800000,4802394,4810325,4805988,4807816,4807756,4812282,4812432,4804834,4806645,4875542,4807867,4807852,4808007,4804812,4805510,4807283,4800000,4800000,4805968,4805386,4805744,4800000,5008712,4802414,5152894,4804316,4805390,4805308,4805690,4810120,4810042,4995930,4806136,4808397,4807894,4809536,4804982,4802380,4810378,4807412,4844854,4987164,4808058,4812576,4805150,4804968,4807731,4804362,4802217,5271633,4819336,4804570,4804968,4811640,4810694,4805398,4868780,4811260,4811132,4810458,4802916,4811534
11,4802419,4805068,4810344,4816444,4813023,4807477,4802580,4808804,4808149,4811758,4802740,4814808,4805180,4836001,5446491,5121338,4800000,4806120,4908638,4802966,4806848,4812508,4805922,4802767,4825664,4807894,4804805,4808161,4817512,4805174,4810229,4810410,4810666,5056522,4834029,4800000,4804788,4810325,4811956,4805209,4805174,4815341,4806224,4802417,4804432,4875542,4807867,4807852,4808007,4809612,4805510,4804858,4800000,4802901,4802984,4805386,4811488,4808002,5003696,4804828,5157461,4806471,4813454,4810606,4808529,4805066,4805026,5000764,4806136,4808397,4810522,4804772,4809950,4804760,4810384,4804944,4842512,4984756,4805376,4810066,4802575,4804968,4805158,4804362,4802217,5199214,4814518,4809140,4809926,4811640,4808023,4810786,4881080,4811260,4808352,4818274,4808741,4811534
11.5,4807252,4810126,4807760,4805492,4813023,4804988,4807735,4804406,4810862,4808822,4805480,4809880,4805180,4836006,5244555,5123887,4805162,4800000,4910689,4800000,4809128,4812516,4808875,4805528,4825664,4805266,4802405,4802722,4814600,4807756,4810234,4813005,4805333,5058706,4834032,4810324,4804788,4805170,4805988,4805214,4805174,4812282,4803112,4809662,4806645,4875542,4805248,4802619,4800000,4807214,4802755,4802429,4802491,4805802,4802984,4808074,4811488,4808002,5006204,4802414,5162028,4806471,4802695,4807957,4808529,4807593,4805026,4998347,4806136,4805602,4807894,4804772,4804982,4802380,4810384,4804944,4844854,4989572,4810735,4810066,4805150,4804968,4805158,4804362,4806647,5073841,4814518,4806857,4809926,4805826,4800000,4810786,4878009,4805630,4811132,4815672,4808741,4805774
12,4804838,4812651,4810338,4813709,4813023,4809966,4805160,4808804,4805436,4811758,4805480,4814808,4802590,4833449,5140728,5121338,4807735,4806120,4908638,4805932,4806848,4812516,4800000,4805534,4822468,4810522,4802405,4805444,4823324,4805174,4807678,4810410,4808002,5060890,4834032,4800000,4800000,4805170,4811964,4810418,4805174,4809215,4806224,4804834,4804432,4875542,4807867,4800000,4808007,4809616,4802755,4804858,4800000,4805796,4805968,4800000,4811488,4805338,5011214,4804828,5152894,4806471,4802695,4810606,4805690,4805066,4805026,4998347,4809197,4808397,4810522,4809536,4804982,4800000,4810384,4807412,4842512,4989572,4805376,4807552,4805150,4804963,4810304,4804362,4808860,5029786,4819340,4809140,4804968,4811640,4802676,4810786,4878009,4800000,4808352,4810458,4802916,4811534
